method,spring_element_type,grid_side_size,initial_energy,total_time_s
standard_newton,without_length,5,2.26635e+07,0.000261
standard_newton,without_length,10,7.30682e+07,0.001125
standard_newton,without_length,20,4.05053e+08,0.005792
standard_newton,with_length,5,2.43845e+07,0.000605
standard_newton,with_length,10,7.90827e+07,0.003002
standard_newton,with_length,20,4.29333e+08,0.017239
standard_newton,with_length_with_positive_local_hessian,5,2.43845e+07,0.00181
standard_newton,with_length_with_positive_local_hessian,10,7.90827e+07,0.00735
standard_newton,with_length_with_positive_local_hessian,20,4.29333e+08,0.038912
projected_hessian,without_length,5,2.26635e+07,0.000196
projected_hessian,without_length,10,7.30682e+07,0.000945
projected_hessian,without_length,20,4.05053e+08,0.005927
projected_hessian,with_length,5,2.43845e+07,0.000691
projected_hessian,with_length,10,7.90827e+07,0.003235
projected_hessian,with_length,20,4.29333e+08,0.02281
projected_hessian,with_length_with_positive_local_hessian,5,2.43845e+07,0.001881
projected_hessian,with_length_with_positive_local_hessian,10,7.90827e+07,0.007376
projected_hessian,with_length_with_positive_local_hessian,20,4.29333e+08,0.037917
gradient_descent,without_length,5,2.26635e+07,0.288159
gradient_descent,without_length,10,7.30682e+07,0.909113
gradient_descent,without_length,20,4.05053e+08,3.23327
gradient_descent,with_length,5,2.43845e+07,0.029593
gradient_descent,with_length,10,7.90827e+07,0.405147
gradient_descent,with_length,20,4.29333e+08,3.73879
