grid_size,spring_type,method,run_time,run_time_evaluation,num_iteration,obj_func_value
5,noLength,gauss_newton,0.000508,0.000156,3,176.537
5,noLength,gradient_descent,0.001168,0.000485,46,3.46469e-9
5,noLength,l_bfgs,0.009547,0.00009,395,176.537
5,noLength,projected_newton,0.000145,0.000041,2,176.537
5,noLength,standard_newton,0.000214,0.000101,2,176.537
5,withLength,gauss_newton,0.003747,0.002202,40,539.656
5,withLength,gradient_descent,0.0235,0.001367,1160,2.17551
5,withLength,l_bfgs,0.021229,0.000738,866,539.656
5,withLength,projected_newton,0.000561,0.000166,11,539.656
5,withLength,standard_newton,0.001811,0.001392,12,539.656
10,noLength,gauss_newton,0.000829,0.000261,2,565.093
10,noLength,gradient_descent,0.003589,0.001745,142,1.78907e-8
10,noLength,l_bfgs,0.044047,0.026575,683,565.093
10,noLength,projected_newton,0.000894,0.000261,4,565.093
10,noLength,standard_newton,0.000941,0.00028,4,565.093
10,withLength,gauss_newton,0.058889,0.039183,146,1795.16
10,withLength,gradient_descent,0.02685,0.015623,977,18.3824
10,withLength,l_bfgs,0.060881,0.036787,911,1795.16
10,withLength,projected_newton,0.002307,0.000714,12,1795.16
10,withLength,standard_newton,0.006853,0.005105,13,1795.16
20,noLength,gauss_newton,0.008774,0.004381,8,1878.42
20,noLength,gradient_descent,0.020117,0.016213,353,6.86257e-8
20,noLength,l_bfgs,0.348531,0.257337,1683,1878.42
20,noLength,projected_newton,0.004782,0.001066,4,1878.42
20,noLength,standard_newton,0.004588,0.001071,4,1878.42
20,withLength,gauss_newton,0.467419,0.269292,225,6338.32
20,withLength,gradient_descent,0.43723,0.342809,5024,90.8488
20,withLength,l_bfgs,0.277889,0.205662,1302,6338.32
20,withLength,projected_newton,0.01406,0.003116,12,6338.32
20,withLength,standard_newton,0.040716,0.026111,16,6338.32
